1,109
3,129
0,205
2,218
3,273
0,327
2,345
4,413
1,463
2,533
4,559
1,573
4,688
2,821
0,838
1,944
0,992
0,1131
0,1187
3,1216
0,1289
4,1348
3,1366
0,1415
3,1482
3,1816
2,1842
4,1858
1,1985
2,2191
4,2355
0,2493
1,2670
0,2769
3,2842
2,2872
3,2996
4,3014
1,3177
2,3271
3,3360
2,3482
1,3551
0,3675
3,3691
2,3924
2,3982
3,4098
2,4276
3,4437
0,4605
1,4728
2,4879
1,4963
0,5191
2,5251
3,5328
4,5354
2,5370
1,5453
3,5465
2,5483
1,5581
4,5599
0,5796
3,5811
4,5908
3,5955
4,6090
1,6104
4,6181
0,6198
3,6274
0,6308
4,6587
2,6603
1,6643
4,6677
2,6754
1,6764
0,6772
3,6879
4,6909
3,6985
3,7295
1,7307
4,7331
0,7362
2,7370
3,7432
4,7450
0,7606
1,7822
2,7881
1,7970
2,7996
3,8076
4,8193
3,8211
0,8288
2,8344
2,8499
0,8548
4,8588
3,8620
0,8702
3,8736
1,8812
0,8846
4,8862
3,8880
3,8958
2,9076
1,9086
2,9170
1,9195
4,9336
2,9469
0,9585
4,9618
3,9675
4,9834
1,9848
3,9908
0,10067
1,10073
2,10091
4,10136
0,10148
3,10233
0,10258
2,10303
1,10341
0,10423
4,10448
3,10466
1,10547
3,10592
3,10778
2,10796
4,10818
0,10856
2,10879
0,11122
1,11178
0,11293
3,11321
1,11363
1,11515
1,11620
3,11660
2,11692
2,11794
4,11991
0,12046
3,12144
2,12172
4,12250
2,12358
1,12385
0,12391
3,12401
4,12474
2,12490
3,12504
4,12971
4,13020
