0,119
4,235
1,317
3,356
0,399
1,677
4,819
3,850
4,974
1,1038
3,1122
1,1150
4,1189
2,1317
1,1572
3,1611
2,1682
0,1796
1,1902
2,1941
3,2015
2,2149
4,2168
0,2200
3,2216
0,2323
2,2331
3,2398
3,2536
0,2573
0,2667
1,2783
4,2874
1,2893
0,2899
1,2968
2,3016
0,3179
2,3408
1,3437
3,3482
1,3689
4,3734
0,3746
1,3803
3,3823
1,3983
0,4132
1,4244
0,4252
4,4326
0,4403
0,4570
1,4576
2,4606
4,4624
3,4647
4,4753
1,4869
2,4980
0,5030
4,5103
4,5237
0,5277
0,5460
4,5473
0,5573
3,5700
1,5716
2,5726
1,5776
2,5855
2,5952
3,6089
3,6168
2,6278
2,6356
0,6445
4,6470
3,6493
1,6542
3,6611
0,6653
3,6756
4,6783
2,6884
1,6967
2,6985
4,7020
1,7097
2,7107
4,7138
0,7185
2,7198
2,7441
1,7496
3,7620
4,7766
0,7783
3,7818
0,7949
4,7977
1,8060
4,8098
2,8114
0,8158
1,8218
4,8325
1,8339
4,8415
1,8434
1,8540
2,8679
0,9053
4,9109
4,9256
1,9305
3,9331
0,9420
4,9454
3,9514
0,9711
4,9728
1,9747
3,9844
0,9858
2,9877
4,10039
3,10077
2,10228
2,10427
0,10566
2,10588
4,10645
1,10659
0,10665
1,10759
1,10831
3,10978
2,10996
4,11152
4,11313
4,11392
3,11528
0,11552
4,11656
0,11668
1,11765
0,11825
2,11862
0,12139
1,12167
4,12362
2,12572
3,12590
2,12683
4,12720
3,12792
2,12806
4,12822
3,12894
2,12924
